,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,7615264703,Afternoon Run,2022-08-10T16:18:55Z,Run,7432.0,2489,3264,129.2,"[-26.114985588937998, 27.96591030433774]",garmin_push_9376500035
1,7606659734,Morning Run,2022-08-09T06:45:05Z,Run,5554.1,1943,2048,83.4,"[-26.127550564706326, 27.982460455968976]",garmin_push_9366085975
2,7603758055,Afternoon Run,2022-08-08T16:50:42Z,Run,9377.9,3155,3288,90.1,"[-26.150734405964613, 28.006538981571794]",garmin_push_9362706675
3,7595491614,Morning Run,2022-08-07T07:10:22Z,Run,5024.6,1748,1797,70.6,"[-26.0871016792953, 27.9554371163249]",garmin_push_9352779635
4,7585009270,Morning Run,2022-08-05T07:10:54Z,Run,6460.5,2111,2312,12.6,"[47.496136045083404, 19.066158151254058]",garmin_push_9340425722
5,7573782242,Morning Run,2022-08-03T06:50:21Z,Run,6016.8,2017,2495,15.7,"[47.495826752856374, 19.065537052229047]",garmin_push_9327220045
6,7546430934,Morning Run,2022-07-29T07:02:59Z,Run,7096.3,2335,2635,12.3,"[47.496118526905775, 19.06625211238861]",garmin_push_9294936227
7,7535145033,Morning Run,2022-07-27T05:58:50Z,Run,10584.5,3468,3797,31.7,"[47.49623939394951, 19.066355796530843]",garmin_push_9281725629
8,7533280473,Afternoon Walk,2022-07-26T16:13:38Z,Walk,4008.8,2535,2966,8.1,"[47.495941668748856, 19.06598389148712]",garmin_push_9279742305
9,7529342423,Morning Run,2022-07-26T05:58:18Z,Run,6036.5,2011,2663,24.4,"[47.49596823938191, 19.065880961716175]",garmin_push_9274953421
10,7490130470,Evening Run,2022-07-18T18:16:53Z,Run,7304.0,2430,2430,24.3,"[47.512104073539376, 19.085971461609006]",garmin_push_9228919356
11,7471765071,Morning Walk,2022-07-15T07:15:28Z,Run,3004.4,1368,1372,49.8,"[-26.087411055341363, 27.95549754984677]",garmin_push_9207002095
12,7468579364,Afternoon Run,2022-07-14T16:27:09Z,Run,10923.6,3566,4031,164.9,"[-26.088819801807404, 27.944960659369826]",garmin_push_9203356996
13,7462667075,Afternoon Run,2022-07-13T16:34:59Z,Run,6222.8,1983,1992,104.7,"[-26.087209722027183, 27.955433931201696]",garmin_push_9196410174
14,7457125646,Afternoon Run,2022-07-12T16:25:31Z,Run,11306.2,3565,3876,163.6,"[-26.088894233107567, 27.944893017411232]",garmin_push_9189886569
15,7451580412,Afternoon Run,2022-07-11T16:19:15Z,Run,10683.2,3267,3570,156.6,"[-26.08728968538344, 27.95542881824076]",garmin_push_9183320571
16,7438203970,Morning Run,2022-07-09T06:58:03Z,Run,10384.4,3405,3751,150.0,"[-26.0887991823256, 27.94486409984529]",garmin_push_9167609883
